ts_serveur,ts_epoch,ip_source,device,type,os,transport,node_id,seq,uptime_ms,cpu_usage_pct,free_heap_bytes,stack_usage_pct,active_threads,battery_mv,energy_proxy,sleep_ratio_pct,signal_dbm,last_send_duration_ms,bytes_tx,bytes_rx,transport_errors,coap_retransmissions,tx_success_rate,consecutive_failures,reset_count,update_count,status
2026-09-05T16:42:19.617138+00:00,1788626539.617138,10.42.0.10,sim-montee_charge,esp32s3,zephyr,wifi,3256737300,1,49596,11,65536,26,1,3899,0,0,-57,0,0,0,0,0,100,0,1,0,ok
2026-09-05T16:42:19.620972+00:00,1788626539.620972,10.42.0.200,sim-critique,esp32s3,zephyr,wifi,33974855,1,43495,19,65536,26,1,3719,0,0,-54,0,0,0,0,0,100,0,1,0,ok
2026-09-05T16:42:19.623148+00:00,1788626539.623148,10.42.0.187,sim-batterie_faible,esp32s3,zephyr,wifi,2074766961,1,46658,17,65536,26,1,3359,0,0,-48,0,0,0,0,0,100,0,1,0,ok
2026-09-05T16:42:19.629315+00:00,1788626539.629315,10.42.0.92,sim-nominal,esp32s3,zephyr,wifi,72460753,1,52392,21,65536,25,1,3599,0,0,-30,0,0,0,0,0,100,0,1,0,ok
2026-09-05T16:42:19.636154+00:00,1788626539.636154,10.42.0.71,sim-stable,esp32s3,zephyr,wifi,3583438556,1,40758,8,65536,26,1,4079,0,0,-59,0,0,0,0,0,100,0,1,0,ok
2026-09-05T16:42:23.637747+00:00,1788626543.637747,10.42.0.200,sim-critique,esp32s3,zephyr,wifi,33974855,3,47522,15,65536,34,1,3719,383,8,-54,18,381,2,0,0,100,0,1,0,ok
2026-09-05T16:42:23.654133+00:00,1788626543.654133,10.42.0.92,sim-nominal,esp32s3,zephyr,wifi,72460753,3,56422,16,65536,29,1,3599,382,7,-29,17,380,2,0,0,100,0,1,0,ok
2026-09-05T16:42:25.636430+00:00,1788626545.63643,10.42.0.10,sim-montee_charge,esp32s3,zephyr,wifi,3256737300,4,55623,8,65536,34,1,3899,388,10,-55,15,386,2,0,0,100,0,1,0,ok
2026-09-05T16:42:27.657236+00:00,1788626547.657236,10.42.0.200,sim-critique,esp32s3,zephyr,wifi,33974855,5,51540,11,65536,34,1,3719,770,15,-54,11,766,4,0,0,100,0,1,0,ok
2026-09-05T16:42:27.679221+00:00,1788626547.679221,10.42.0.92,sim-nominal,esp32s3,zephyr,wifi,72460753,5,60446,13,65536,29,1,3599,768,13,-35,14,764,4,0,0,100,0,1,0,ok
2026-09-05T16:42:29.660290+00:00,1788626549.66029,10.42.0.71,sim-stable,esp32s3,zephyr,wifi,3583438556,6,50794,5,65536,34,1,4079,381,19,-48,19,379,2,0,0,100,0,1,0,ok
2026-09-05T16:42:29.697841+00:00,1788626549.697841,10.42.0.92,sim-nominal,esp32s3,zephyr,wifi,72460753,6,62468,10,65536,29,1,3599,1154,16,-33,15,1148,6,0,0,100,0,1,0,ok
2026-09-05T16:42:31.655448+00:00,1788626551.655448,10.42.0.10,sim-montee_charge,esp32s3,zephyr,wifi,3256737300,7,61642,14,65536,34,1,3899,780,19,-49,12,776,4,0,0,100,0,1,0,ok
2026-09-05T16:42:31.674650+00:00,1788626551.67465,10.42.0.71,sim-stable,esp32s3,zephyr,wifi,3583438556,7,52809,8,65536,34,1,4079,766,22,-49,11,762,4,0,0,100,0,1,0,ok
2026-09-05T16:42:33.677783+00:00,1788626553.677783,10.42.0.200,sim-critique,esp32s3,zephyr,wifi,33974855,8,57561,8,65536,34,1,3719,1157,24,-54,13,1151,6,0,0,100,0,1,0,ok
2026-09-05T16:42:35.673664+00:00,1788626555.673664,10.42.0.10,sim-montee_charge,esp32s3,zephyr,wifi,3256737300,9,65659,10,65536,34,1,3899,1172,24,-48,11,1166,6,0,0,100,0,1,0,ok
2026-09-05T16:42:35.725029+00:00,1788626555.725029,10.42.0.92,sim-nominal,esp32s3,zephyr,wifi,72460753,9,68495,7,65536,29,1,3599,1540,23,-33,12,1532,8,0,0,100,0,1,0,ok
2026-09-05T16:42:41.698472+00:00,1788626561.698472,10.42.0.71,sim-stable,esp32s3,zephyr,wifi,3583438556,12,62831,5,65536,34,1,4079,1151,35,-50,11,1145,6,0,0,100,0,1,0,ok
2026-09-05T16:42:43.695098+00:00,1788626563.695098,10.42.0.10,sim-montee_charge,esp32s3,zephyr,wifi,3256737300,13,73681,7,65536,34,1,3899,1567,32,-48,13,1559,8,0,0,100,0,1,0,ok
2026-09-05T16:42:47.711643+00:00,1788626567.711643,10.42.0.10,sim-montee_charge,esp32s3,zephyr,wifi,3256737300,15,77698,10,65536,34,1,3899,1962,36,-48,11,1952,10,0,0,100,0,1,0,ok
2026-09-05T16:42:47.762644+00:00,1788626567.762644,10.42.0.92,sim-nominal,esp32s3,zephyr,wifi,72460753,15,80532,4,65536,29,1,3599,1928,34,-31,12,1918,10,0,0,100,0,1,0,ok
2026-09-05T16:42:49.668694+00:00,1788626569.668694,10.42.0.187,sim-batterie_faible,esp32s3,zephyr,wifi,2074766961,16,76711,5,65536,34,1,3359,390,39,-51,15,388,2,0,0,100,0,1,0,ok
2026-09-05T16:42:51.709281+00:00,1788626571.709281,10.42.0.200,sim-critique,esp32s3,zephyr,wifi,33974855,17,75593,5,65536,34,1,3719,1545,42,-55,12,1537,8,0,0,100,0,1,0,ok
2026-09-05T16:42:53.730313+00:00,1788626573.730313,10.42.0.10,sim-montee_charge,esp32s3,zephyr,wifi,3256737300,18,83717,7,65536,34,1,3899,2357,40,-52,11,2345,12,0,0,100,0,1,0,ok
2026-09-05T16:42:55.728780+00:00,1788626575.72878,10.42.0.200,sim-critique,esp32s3,zephyr,wifi,33974855,19,79610,8,65536,34,1,3719,1935,45,-55,10,1925,10,0,0,100,0,1,0,ok
2026-09-05T16:42:55.792052+00:00,1788626575.792052,10.42.0.92,sim-nominal,esp32s3,zephyr,wifi,72460753,19,88562,8,65536,29,1,3599,2317,40,-38,13,2305,12,0,0,100,0,1,0,ok
2026-09-05T16:42:57.747660+00:00,1788626577.74766,10.42.0.10,sim-montee_charge,esp32s3,zephyr,wifi,3256737300,20,87733,11,65536,34,1,3898,2752,43,-49,11,2738,14,0,0,100,0,1,0,ok
2026-09-05T16:43:01.764740+00:00,1788626581.76474,10.42.0.10,sim-montee_charge,esp32s3,zephyr,wifi,3256737300,22,91750,8,65536,34,1,3898,3147,45,-49,11,3131,16,0,0,100,0,1,0,ok
2026-09-05T16:43:07.783755+00:00,1788626587.783755,10.42.0.10,sim-montee_charge,esp32s3,zephyr,wifi,3256737300,25,97770,5,65536,34,1,3898,3542,49,-49,11,3524,18,0,0,100,0,1,0,ok
2026-09-05T16:43:09.834991+00:00,1788626589.834991,10.42.0.92,sim-nominal,esp32s3,zephyr,wifi,72460753,26,102604,5,65536,29,1,3598,2706,48,-31,12,2692,14,0,0,100,0,1,0,ok
2026-09-05T16:43:11.742325+00:00,1788626591.742325,10.42.0.71,sim-stable,esp32s3,zephyr,wifi,3583438556,27,92875,3,65536,34,1,4079,1537,55,-49,11,1529,8,0,0,100,0,1,0,ok
2026-09-05T16:43:13.857375+00:00,1788626593.857375,10.42.0.92,sim-nominal,esp32s3,zephyr,wifi,72460753,28,106627,8,65536,29,1,3598,3096,50,-31,13,3080,16,0,0,100,0,1,0,ok
2026-09-05T16:43:15.805403+00:00,1788626595.805403,10.42.0.10,sim-montee_charge,esp32s3,zephyr,wifi,3256737300,29,105790,14,65536,34,1,3898,3938,52,-49,11,3918,20,0,0,100,0,1,0,ok
2026-09-05T16:43:15.876721+00:00,1788626595.876721,10.42.0.92,sim-nominal,esp32s3,zephyr,wifi,72460753,29,108646,20,65536,29,1,3598,3486,51,-31,12,3468,18,0,0,100,0,1,0,ok
2026-09-05T16:43:19.715885+00:00,1788626599.715885,10.42.0.187,sim-batterie_faible,esp32s3,zephyr,wifi,2074766961,31,106757,16,65536,34,1,3358,787,56,-49,14,783,4,0,0,100,0,1,0,ok
2026-09-05T16:43:19.823282+00:00,1788626599.823282,10.42.0.10,sim-montee_charge,esp32s3,zephyr,wifi,3256737300,31,109808,10,65536,34,1,3898,4334,54,-49,11,4312,22,0,0,100,0,1,0,ok
2026-09-05T16:43:21.903448+00:00,1788626601.903448,10.42.0.92,sim-nominal,esp32s3,zephyr,wifi,72460753,32,114673,14,65536,29,1,3598,3876,54,-31,13,3856,20,0,0,100,0,1,0,ok
2026-09-05T16:43:25.773630+00:00,1788626605.77363,10.42.0.200,sim-critique,esp32s3,zephyr,wifi,33974855,34,109656,6,65536,34,1,3718,2325,60,-52,14,2313,12,0,0,100,0,1,0,ok
