point,temps_s,stable,montee_charge,critique,batterie_faible,nominal
0,0,8,11,19,17,21
1,2,7,10,17,14,19
2,4,7,9,15,11,16
3,6,6,8,13,10,14
4,8,6,7,11,8,13
5,10,5,6,10,7,10
6,12,8,14,10,8,9
7,14,7,12,8,6,8
8,16,6,10,8,7,7
9,18,7,11,9,9,9
10,20,6,9,9,8,9
11,22,5,8,9,8,7
12,24,5,7,8,6,6
13,26,5,6,7,5,5
14,28,5,10,6,5,4
15,30,4,9,6,5,4
16,32,4,8,5,4,4
17,34,4,7,5,4,5
18,36,5,8,8,6,8
19,38,5,11,8,7,7
20,40,5,9,7,12,6
21,42,5,8,7,11,6
22,44,4,7,7,9,6
23,46,4,6,8,8,7
24,48,4,5,7,8,6
25,50,4,5,7,7,5
26,52,3,5,7,7,6
27,54,4,6,10,10,8
28,56,4,14,9,20,20
29,58,4,12,8,18,18
30,60,4,10,9,16,15
31,62,4,9,8,14,14
32,64,4,8,7,13,12
33,66,4,8,6,12,9
34,68,4,7,6,10,9
35,70,3,6,5,9,12
36,72,4,7,7,10,13
37,74,4,6,7,9,11
38,76,4,6,6,9,10
39,78,4,5,6,8,10
40,80,3,5,6,7,8
41,82,3,5,6,6,9
42,84,4,4,6,6,8
43,86,3,4,6,5,7
44,88,3,4,6,6,6
45,90,4,5,8,8,8
46,92,4,4,7,8,7
47,94,4,4,6,6,8
48,96,3,4,6,6,7
49,98,3,4,5,6,7
50,100,3,3,5,5,7
51,102,3,3,5,4,6
52,104,5,3,7,4,5
53,106,4,3,7,4,5
54,108,5,4,9,7,7
55,110,5,12,8,7,9
56,112,4,10,8,7,7
57,114,4,9,7,6,6
58,116,4,8,7,7,8
59,118,4,7,7,6,7
60,120,6,6,6,6,5
61,122,5,6,6,5,4
62,124,5,6,6,5,5
63,126,5,8,8,8,7
64,128,5,7,8,7,7
65,130,4,6,7,7,6
66,132,4,6,7,6,5
67,134,4,5,6,6,4
68,136,4,5,7,7,4
69,138,3,5,6,6,4
70,140,3,5,6,6,3
71,142,3,5,5,6,8
72,144,3,6,7,9,10
73,146,4,6,7,7,10
74,148,4,6,7,8,10
75,150,5,5,6,8,10
76,152,4,5,6,8,8
77,154,4,4,5,7,8
78,156,5,5,4,7,8
79,158,4,4,4,6,8
80,160,4,4,4,6,6
81,162,5,6,7,8,9
82,164,5,6,6,7,8
83,166,4,5,6,5,7
84,168,4,5,5,4,6
85,170,3,4,6,5,6
86,172,3,5,6,4,6
87,174,4,4,11,4,6
88,176,4,5,13,5,6
89,178,4,4,11,5,5
90,180,5,6,13,8,21
91,182,9,5,11,8,18
92,184,7,5,12,7,16
93,186,7,9,11,7,14
94,188,6,8,11,9,12
95,190,6,7,10,8,11
96,192,5,6,10,7,9
97,194,5,6,8,13,8
98,196,5,7,8,12,8
99,198,6,8,9,13,9
100,200,10,8,8,11,9
101,202,9,7,8,9,18
102,204,8,6,8,20,16
103,206,7,5,7,17,14
104,208,6,4,7,14,13
105,210,5,12,7,15,11
106,212,5,10,17,13,9
107,214,5,9,15,10,8
108,216,10,10,15,12,10
